id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,259,1,1,0,1
2,180,3,1,0,1
3,111,1,1,0,1
4,215,1,1,0,1
5,44,4,1,0,1
6,159,3,1,1,1
7,191,1,2,0,1
8,253,4,2,0,1
9,181,1,2,1,1
10,89,4,2,1,1
11,75,1,2,1,1
12,257,1,2,1,1
13,147,4,2,0,1
14,146,1,2,1,1
15,84,1,2,1,1
16,27,4,2,1,1
17,235,4,2,0,1
18,41,1,2,0,1
19,170,4,2,0,1
20,227,3,2,0,1
21,44,4,2,0,1
22,71,4,2,1,1
23,32,3,2,1,1
24,80,4,2,1,1
25,261,4,2,0,1
26,154,4,2,0,1
27,66,3,2,1,1
28,91,1,2,1,1
29,112,4,3,1,1
30,29,1,3,1,1
31,251,4,3,1,1
32,270,3,3,1,1
33,149,1,3,1,1
34,98,1,3,0,1
35,69,1,3,1,1
36,197,4,3,0,1
37,143,1,3,1,1
38,267,3,3,1,1
39,182,4,3,1,1
40,8,3,3,0,1
41,114,3,3,0,1
42,210,1,3,1,1
43,62,1,4,1,1
44,114,1,4,0,1
45,98,2,4,0,1
46,208,1,4,0,1
47,73,4,4,1,1
48,244,3,4,0,1
49,136,1,4,0,1
50,105,3,4,1,1
51,35,1,4,0,1
52,57,4,4,0,1
53,193,3,4,0,1
54,106,1,4,1,1
55,276,4,4,1,1
56,5,1,5,0,1
57,19,1,5,1,1
58,214,2,5,1,1
59,157,1,5,1,1
60,52,1,5,1,1
61,4,2,5,1,1
62,174,1,5,0,1
63,38,4,5,1,1
64,44,4,5,0,1
65,117,3,5,0,1
66,223,4,5,1,1
67,124,4,6,0,1
68,267,1,6,0,1
69,104,1,6,0,1
70,241,1,6,0,1
71,189,4,6,1,1
72,65,3,6,1,1
73,87,2,6,0,1
74,191,1,6,0,1
75,148,3,6,1,1
76,96,1,6,1,1
77,274,1,6,0,1
78,170,4,7,1,1
79,71,1,7,1,1
80,40,1,7,1,1
81,67,4,7,0,1
82,106,4,7,0,1
83,205,4,7,1,1
84,116,4,7,0,1
85,218,4,7,1,1
86,29,4,7,0,1
87,134,1,7,1,1
88,54,4,7,0,1
89,232,4,8,1,1
90,260,1,8,1,1
91,39,4,8,1,1
92,265,3,8,1,1
93,222,4,8,0,1
94,275,3,8,1,1
95,193,4,8,1,1
96,89,2,8,0,1
97,68,4,8,1,1
98,5,2,8,1,1
99,276,4,8,0,1
100,24,3,8,1,1
