id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
100001,46,4.0,116.45015527777946,10.11187420807834
200001,111111,0.0,125.0,6.708203932499369
200002,111111,2.0,150.0,0.0
100002,223,0.0,156.9621977711463,5.385164807134505
200003,111111,3.0,173.40031055556062,5.385164807134505
100003,88,0.0,181.95015527778116,6.708203932499369
200004,111111,3.0,190.0,6.708203932499369
100004,148,0.0,200.17470930182694,8.06225774829855
200005,111111,4.0,210.0,8.06225774829855
100005,47,0.0,219.1533230645749,7.211102550927979
100006,169,4.0,251.81671842592695,9.433981132056605
200006,111111,0.0,255.0,2.23606797749979
200007,111111,3.0,325.0,0.0
100007,74,0.0,331.50000000240215,5.0
100012,24,2.0,655.7638681293678,3.1622776601683795
200012,111111,0.0,665.0,7.280109889280518
200013,111111,4.0,720.0,0.0
100013,65,0.0,728.9852813776326,7.071067811865475
200015,111111,4.0,737.4705627552662,7.071067811865475
100015,43,0.0,745.1705627581428,6.0
100019,22,3.0,769.9879360472578,4.123105625617661
200019,111111,0.0,785.0,8.06225774829855
200017,111111,1.0,785.0,0.0
100017,151,0.0,791.6188234187562,5.099019513592785
100020,124,2.0,989.5522732472767,2.23606797749979
200020,111111,0.0,995.0,4.123105625617661
999999,999999,0.0,21065.0,6.020797289396148
