id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
310004,3333333,0.0,3.394112551053013,2.8284271247461903
200001,111111,2.0,45.0,3.2015621187164243
100001,59,0.0,51.61882341875887,5.099019513592785
100006,55,2.0,116.0147186223642,4.0
200006,111111,0.0,125.0,7.071067811865475
100010,122,1.0,147.20068496072594,6.082762530298219
200010,111111,0.0,155.0,6.082762530298219
200009,111111,2.0,165.0,0.0
100009,64,0.0,173.1837490879929,6.4031242374328485
100014,52,2.0,187.58374909375212,12.0
100013,121,3.0,193.0314758464754,4.123105625617661
200013,111111,2.0,202.01675722411105,7.071067811865475
200014,111111,0.0,202.01675722411093,0.0
200011,111111,4.0,202.01675722411082,0.0
100011,88,0.0,210.5666019463312,6.708203932499369
310005,3333333,4.0,222.40045170505357,9.861541461658009
200020,111111,5.0,645.0,3.2015621187164243
100020,115,4.0,650.8665631481462,4.47213595499958
200021,111111,5.0,675.0,4.47213595499958
100021,167,4.0,679.8266615322874,3.6055512754639896
100023,169,0.0,798.183281574073,2.0
200023,111111,4.0,800.8665631481472,2.23606797749979
200024,111111,5.0,810.0,0.0
100024,200,4.0,817.2882251021061,5.656854249492381
200027,111111,7.0,865.0,5.656854249492381
100027,84,4.0,875.174709301827,8.06225774829855
999999,999999,-0.0,21065.0,8.381527307120104
