id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
200007,111111,3.0,165.0,6.020797289396148
100007,130,0.0,171.61882341875886,5.099019513592785
100016,34,1.0,441.7438250196188,6.708203932499369
200016,111111,0.0,455.0,10.630145812734648
100017,166,4.0,509.13343685185544,4.47213595499958
200017,111111,0.0,515.0,4.47213595499958
100020,164,2.0,566.9105336125624,6.324555320336759
200020,111111,0.0,575.0,6.324555320336759
200032,111111,3.0,805.0,0.0
200033,111111,7.0,810.0,0.0
100033,229,3.0,821.8207773629962,9.433981132056605
100032,246,0.0,823.0207773634761,1.0
999999,999999,0.0,21065.0,4.031128874149275
